generation,eval_avg,eval_best,avg_fitness,topk_fitness,avg_fitness_std,topk_fitness_std,avg_len,tr_time,pct_self_play,eval_time
95,,,1.0281410217285156,1.403249979019165,0.27743732929229736,0.061600640416145325,726.60302734375,33.762722969055176,0.00031334399999999996,0
96,,,1.02213454246521,1.4066599607467651,0.29092153906822205,0.055218521505594254,740.4330444335938,33.75662922859192,0.000319906,0
97,,,1.025122046470642,1.4001799821853638,0.27403318881988525,0.062359489500522614,730.06005859375,33.76557421684265,0.000326536,0
98,,,1.0267584323883057,1.3991349935531616,0.27578040957450867,0.055240195244550705,731.5380249023438,33.764199018478394,0.00033323400000000007,0
99,,,1.0245609283447266,1.4081999063491821,0.29327285289764404,0.05125564709305763,719.1730346679688,33.76360511779785,0.00034,0
100,1.0819699701666832,1.5729999542236328,1.0455354452133179,1.4257848262786865,0.271958589553833,0.06022089347243309,718.8990478515625,33.76786684989929,0.00034683399999999997,10.477714776992798
101,,,1.0281755924224854,1.4007900953292847,0.28835514187812805,0.04937836900353432,726.3910522460938,33.76291608810425,0.00035373600000000006,0
102,,,1.0390455722808838,1.4098949432373047,0.2831770181655884,0.05115654692053795,707.696044921875,33.77432346343994,0.000360706,0
103,,,1.0326640605926514,1.397674798965454,0.26977577805519104,0.049081481993198395,722.1240234375,33.7676739692688,0.000367744,0
104,,,1.038156509399414,1.4252948760986328,0.2838176488876343,0.05594857782125473,726.987060546875,33.75252103805542,0.00037485000000000003,0
105,,,1.0206540822982788,1.4029449224472046,0.2799849808216095,0.05954815819859505,729.4940185546875,33.766364097595215,0.000382024,0
106,,,1.0381790399551392,1.4164599180221558,0.2880217432975769,0.053877659142017365,716.2300415039062,33.758896350860596,0.00038926599999999993,0
107,,,1.0344970226287842,1.406709909439087,0.2761625051498413,0.05716874822974205,719.2520141601562,33.76213455200195,0.000396576,0
108,,,1.0517994165420532,1.4100998640060425,0.26590558886528015,0.05671141669154167,701.3080444335938,33.76271867752075,0.000403954,0
109,,,1.050302505493164,1.4123848676681519,0.28061985969543457,0.056861761957407,714.3030395507812,33.759936809539795,0.00041139999999999997,0
110,1.1361799731850624,1.5704998970031738,1.0631157159805298,1.4249850511550903,0.26869505643844604,0.05943906679749489,692.2760620117188,33.75950884819031,0.000418914,13.215516567230225
111,,,1.0383914709091187,1.4047698974609375,0.26113957166671753,0.058266762644052505,707.6180419921875,33.75683617591858,0.00042649599999999995,0
112,,,1.0300675630569458,1.4147298336029053,0.28607237339019775,0.0608355887234211,720.7930297851562,33.75907802581787,0.00043414599999999995,0
113,,,1.0584115982055664,1.4090750217437744,0.2627931833267212,0.050075676292181015,708.7010498046875,33.7590754032135,0.00044186400000000004,0
114,,,1.04164457321167,1.42441987991333,0.28879719972610474,0.051608555018901825,715.93603515625,33.76543188095093,0.00044964999999999995,0
115,,,1.0603821277618408,1.4099050760269165,0.27338624000549316,0.062249697744846344,690.0130615234375,33.75761842727661,0.00045750399999999996,0
116,,,1.0455330610275269,1.421919822692871,0.2825346291065216,0.05748862028121948,711.47705078125,33.76471757888794,0.00046542599999999996,0
117,,,1.0489065647125244,1.419219970703125,0.27870607376098633,0.05860001966357231,697.0690307617188,33.773470401763916,0.000473416,0
118,,,1.0560065507888794,1.424739956855774,0.2754288613796234,0.05003686994314194,713.3930053710938,33.77749061584473,0.0004814740000000001,0
119,,,1.0420291423797607,1.4189748764038086,0.2804834842681885,0.05337522178888321,712.7860107421875,33.77404975891113,0.0004896,0
120,1.0370749769732357,1.5360000133514404,1.0534619092941284,1.4190798997879028,0.26035046577453613,0.06374003738164902,703.4420166015625,33.78899621963501,0.000497794,13.220534563064575
121,,,1.0390963554382324,1.4123249053955078,0.27391374111175537,0.052284352481365204,712.541015625,33.75869011878967,0.0005060560000000001,0
122,,,1.0387200117111206,1.4041699171066284,0.27629587054252625,0.04778857156634331,706.3960571289062,33.75522470474243,0.0005143859999999999,0
123,,,1.0395609140396118,1.418030023574829,0.28150200843811035,0.054667871445417404,712.9410400390625,33.75146198272705,0.000522784,0
124,,,1.0530999898910522,1.4131999015808105,0.2718258500099182,0.05108701065182686,715.7650146484375,33.75404334068298,0.00053125,0
125,,,1.0466409921646118,1.408499836921692,0.28150326013565063,0.05644507706165314,704.2670288085938,33.765841007232666,0.000539784,0
126,,,1.0329551696777344,1.3986599445343018,0.28801867365837097,0.05405748263001442,710.8890380859375,33.7946994304657,0.000548386,0
127,,,1.048615574836731,1.4289649724960327,0.28909868001937866,0.06404667347669601,697.1080322265625,33.79357576370239,0.000557056,0
